"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0G820","2019-08-27 00:00:00","29.000","0.000","0.200","27.700","0.950","1006.500","-99.000","4.500","-99.000","-99.000","-99.000","34.000","","25.500",""
"C0R590","2019-08-27 00:00:00","72.000","342.000","0.600","26.700","0.990","1002.500","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","24.300",""
"C0A9E0","2019-08-27 00:00:00","26.000","50.000","1.200","29.100","0.690","1008.300","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","27.600",""
"C0R480","2019-08-27 00:00:00","57.000","33.000","1.200","26.700","0.930","1004.300","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","24.500",""
"C0X300","2019-08-27 00:00:00","70.000","84.000","0.400","25.700","0.960","1002.700","-99.000","3.500","-99.000","-99.000","-99.000","33.000","","23.700",""
"C0U970","2019-08-27 00:00:00","7.000","125.000","2.300","27.900","0.880","1011.700","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","26.500",""
"C0M750","2019-08-27 00:00:00","10.000","101.000","0.900","27.700","0.910","1009.400","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","26.500",""
"C0I110","2019-08-27 00:00:00","161.000","192.000","0.500","26.100","0.990","993.200","-99.000","0.500","-99.000","-99.000","-99.000","32.400","","24.000",""
"C0V370","2019-08-27 00:00:00","74.000","156.000","0.300","25.400","1.000","1003.000","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","24.700",""
"C0C690","2019-08-27 00:00:00","242.000","146.000","0.700","26.100","0.770","983.900","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","24.600",""
"C0A540","2019-08-27 00:00:00","401.000","119.000","0.500","25.200","0.860","965.700","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","24.000",""
"C0H950","2019-08-27 00:00:00","192.000","0.000","0.000","25.100","0.990","990.200","-99.000","6.500","-99.000","-99.000","-99.000","33.000","","23.300",""
"C0R360","2019-08-27 00:00:00","20.000","94.000","1.300","27.500","-99.000","1009.000","-99.000","1.500","-99.000","-99.000","-99.000","32.400","","25.400",""
"C0O960","2019-08-27 00:00:00","112.000","0.000","0.000","26.000","0.910","998.200","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","24.800",""
"C0AH10","2019-08-27 00:00:00","30.000","105.000","1.800","29.300","0.720","1006.300","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","27.600",""
"C0R680","2019-08-27 00:00:00","13.000","86.000","7.300","28.500","-99.000","1009.500","-99.000","-99.000","-99.000","-99.000","-99.000","31.300","","25.300",""
"C0X210","2019-08-27 00:00:00","38.000","39.000","0.400","27.300","0.920","1004.700","-99.000","1.500","-99.000","-99.000","-99.000","32.100","","25.000",""
"C0D430","2019-08-27 00:00:00","87.000","0.000","0.000","25.800","1.000","999.800","-99.000","7.500","-99.000","-99.000","-99.000","33.000","","23.700",""
"C0AD30","2019-08-27 00:00:00","20.000","102.000","1.000","29.700","0.660","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","28.000",""
"C0C630","2019-08-27 00:00:00","209.000","163.000","0.800","25.900","0.920","987.500","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","25.000",""
"C0D550","2019-08-27 00:00:00","1956.000","0.000","0.000","15.600","0.970","812.700","-99.000","8.000","-99.000","-99.000","-99.000","21.200","","15.200",""
"C0T9E0","2019-08-27 00:00:00","415.000","0.000","0.000","23.900","0.940","967.100","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","23.500",""
"C0U960","2019-08-27 00:00:00","1885.000","213.000","1.000","16.300","0.990","816.500","-99.000","0.500","-99.000","-99.000","-99.000","21.300","","14.900",""
"C0AI30","2019-08-27 00:00:00","26.000","92.000","2.600","29.400","0.740","1008.600","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","27.600",""
"C0R240","2019-08-27 00:00:00","87.000","41.000","0.800","25.000","0.990","1000.600","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","23.800",""
"C0T9B0","2019-08-27 00:00:00","558.000","276.000","1.400","23.500","0.900","951.800","-99.000","2.000","-99.000","-99.000","-99.000","28.500","","22.800",""
"C0E850","2019-08-27 00:00:00","104.000","90.000","0.400","25.600","0.950","998.500","-99.000","2.500","-99.000","-99.000","-99.000","31.800","","24.000",""
"C0S990","2019-08-27 00:00:00","409.000","23.000","4.600","24.900","0.990","966.700","-99.000","48.500","-99.000","-99.000","-99.000","28.800","","24.000",""
"C0X240","2019-08-27 00:00:00","394.000","172.000","1.100","23.600","0.950","967.900","-99.000","1.500","-99.000","-99.000","-99.000","30.400","","22.600",""
"C0I090","2019-08-27 00:00:00","910.000","0.000","0.200","22.000","0.950","912.800","-99.000","0.000","-99.000","-99.000","-99.000","26.800","","21.800",""
"C0I490","2019-08-27 00:00:00","1601.000","240.000","0.400","17.900","0.990","843.000","-99.000","0.000","-99.000","-99.000","-99.000","25.000","","17.500",""
"C0Z050","2019-08-27 00:00:00","830.000","0.000","0.200","21.600","0.980","923.600","-99.000","2.500","-99.000","-99.000","-99.000","27.300","","20.000",""
"C0X150","2019-08-27 00:00:00","18.000","85.000","1.000","28.300","1.000","1010.100","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","26.100",""
"C0U720","2019-08-27 00:00:00","1260.000","232.000","1.000","19.800","0.990","888.100","-99.000","0.500","-99.000","-99.000","-99.000","27.200","","18.500",""
"C0W140","2019-08-27 00:00:00","21.000","183.000","1.400","28.000","0.910","1009.000","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","27.700",""
"C0G660","2019-08-27 00:00:00","27.000","0.000","0.000","26.700","1.000","1009.000","-99.000","21.500","-99.000","-99.000","-99.000","33.500","","24.700",""
"C0R400","2019-08-27 00:00:00","15.000","46.000","1.600","28.100","-99.000","1009.100","-99.000","0.500","-99.000","-99.000","-99.000","33.500","","25.100",""
"C0E750","2019-08-27 00:00:00","62.000","0.000","0.100","27.300","0.880","1003.000","-99.000","0.500","-99.000","-99.000","-99.000","32.500","","25.700",""
"C0U520","2019-08-27 00:00:00","517.000","0.000","0.000","23.200","0.990","957.200","-99.000","0.500","-99.000","-99.000","-99.000","31.700","","22.800",""
"C0T9G0","2019-08-27 00:00:00","605.000","0.000","0.100","23.100","0.990","947.700","-99.000","0.000","-99.000","-99.000","-99.000","30.300","","22.200",""
"C0S700","2019-08-27 00:00:00","507.000","79.000","0.500","23.600","0.950","957.200","-99.000","0.500","-99.000","-99.000","-99.000","29.900","","22.500",""
"C0Z310","2019-08-27 00:00:00","59.000","344.000","0.900","25.900","0.990","1006.200","-99.000","0.500","-99.000","-99.000","-99.000","32.200","","24.500",""
"C0V610","2019-08-27 00:00:00","22.000","40.000","0.700","28.800","0.840","1008.100","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","28.400",""
"C0E610","2019-08-27 00:00:00","850.000","0.000","0.000","22.800","0.850","919.200","-99.000","0.000","-99.000","-99.000","-99.000","26.900","","22.000",""
"C0R280","2019-08-27 00:00:00","242.000","64.000","0.900","25.400","-99.000","983.300","-99.000","16.500","-99.000","-99.000","-99.000","29.800","","24.300",""
"C0V450","2019-08-27 00:00:00","51.000","7.000","1.800","26.600","0.990","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","25.900",""
"C0M720","2019-08-27 00:00:00","225.000","0.000","0.000","25.700","0.920","985.500","-99.000","4.500","-99.000","-99.000","-99.000","32.200","","24.600",""
"C0AD10","2019-08-27 00:00:00","27.000","142.000","1.200","29.400","0.660","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","27.400",""
"C0Z180","2019-08-27 00:00:00","34.000","0.000","0.000","26.400","0.870","1008.300","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","24.700",""
"C0K420","2019-08-27 00:00:00","42.000","152.000","0.700","27.300","0.910","1005.700","-99.000","0.500","-99.000","-99.000","-99.000","33.100","","25.000",""
"C0D540","2019-08-27 00:00:00","227.000","0.000","0.200","24.900","0.980","986.300","-99.000","6.000","-99.000","-99.000","-99.000","31.800","","23.200",""
"C0E590","2019-08-27 00:00:00","40.000","114.000","0.800","26.200","0.990","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","24.500",""
"C0Z330","2019-08-27 00:00:00","488.000","0.000","0.100","23.700","0.940","959.800","-99.000","7.500","-99.000","-99.000","-99.000","31.200","","22.800",""
"C0S810","2019-08-27 00:00:00","65.000","355.000","0.800","26.300","0.940","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","25.100",""
